Vulnerability Type(s),Publish Date,Score
Exec Code Sql,04/01/2010,7.5
Bypass,04/01/2010,7.5
Exec Code Sql,04/01/2010,6.8
XSS CSRF,04/01/2010,4.3
XSS,04/01/2010,4.3
Exec Code Sql,04/01/2010,6.8
Exec Code Sql,04/01/2010,7.5
XSS,04/01/2010,3.5
,04/01/2010,5
XSS,04/01/2010,2.1
,04/01/2010,7.2
CSRF,04/01/2010,6.8
XSS,04/01/2010,4.3
DoS Overflow,04/01/2010,5
XSS,04/01/2010,4.3
Exec Code Sql,04/01/2010,7.5
Exec Code Sql,04/01/2010,7.5
Exec Code Overflow,04/01/2010,9.3
XSS,04/01/2010,4.3
XSS,04/01/2010,4.3
Bypass,04/01/2010,7.5
,04/01/2010,5
XSS,04/01/2010,4.3
Exec Code File Inclusion,04/01/2010,6.8
XSS,04/01/2010,4.3
Exec Code File Inclusion,04/01/2010,7.5
Exec Code Sql,04/01/2010,6.8
XSS,04/01/2010,4.3
CSRF,05/01/2010,6.8
Exec Code Sql,05/01/2010,7.5
XSS,05/01/2010,4.3
Exec Code Sql,05/01/2010,7.5
XSS,05/01/2010,4.3
XSS,05/01/2010,3.5
DoS,05/01/2010,5
Exec Code Sql,06/01/2010,7.5
Dir. Trav.,06/01/2010,7.5
,06/01/2010,5
Bypass,06/01/2010,7.5
Exec Code Sql,06/01/2010,7.5
Exec Code Sql,06/01/2010,7.5
Dir. Trav.,06/01/2010,6.8
XSS,06/01/2010,4.3
XSS,06/01/2010,4.3
XSS,06/01/2010,4.3
Exec Code Sql,06/01/2010,7.5
Exec Code Sql,06/01/2010,7.5
XSS,06/01/2010,4.3
Exec Code Sql,06/01/2010,7.5
XSS,06/01/2010,4.3
,07/01/2010,4.6
,07/01/2010,4.6
,07/01/2010,4.6
,07/01/2010,4.6
,07/01/2010,4.6
,07/01/2010,4.6
,07/01/2010,2.1
,07/01/2010,4.6
,07/01/2010,2.1
DoS,07/01/2010,5
DoS,07/01/2010,5
,07/01/2010,7.5
Exec Code Sql,07/01/2010,7.5
XSS,07/01/2010,4.3
